rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
24,CHEMBL655,MIDAZOLAM,6.50437706188083,0.424,0.3333333333333333,CHEMBL2347776,8.259637310505756,0.3333333333333333,True,False,0.9492040217846669,1985.0,False,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
25,CHEMBL3545123,PIBRENTASVIR,6.884940179814739,0.6718,0.2761904761904762,CHEMBL4749009,7.740611465536612,0.2761904761904762,False,True,0.9486803519061584,2017.0,False,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC
26,CHEMBL4297592,AMENAMEVIR,7.0030326955097175,0.6204,0.2727272727272727,CHEMBL5207194,9.367591088495232,0.2727272727272727,False,False,0.9467951403435274,2017.0,False,Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1
27,CHEMBL1148,TORSEMIDE,6.489868459081122,0.572,0.3333333333333333,CHEMBL1342570,7.309803919971486,0.3333333333333333,True,False,0.9462714704650188,1993.0,False,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
28,CHEMBL4297403,MELPHALAN FLUFENAMIDE HYDROCHLORIDE,6.677515051703167,0.435,0.2875,CHEMBL4788473,8.522878745280337,0.3194444444444444,True,True,0.9457478005865103,2021.0,False,CCOC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](N)Cc1ccc(N(CCCl)CCCl)cc1
29,CHEMBL2024517,CARIPRAZINE HYDROCHLORIDE,6.526499349235654,0.5077,0.3076923076923077,CHEMBL4861457,9.229147988357855,0.3076923076923077,True,False,0.9438625890238794,2015.0,False,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1
30,CHEMBL4435170,DEUCRAVACITINIB,6.523291163898656,0.5461666666666666,0.3076923076923077,CHEMBL5814027,7.442492798094342,0.3076923076923077,True,False,0.9434436531210725,2022.0,False,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
31,CHEMBL2105737,SONIDEGIB,6.609755685265537,0.6116,0.29,CHEMBL5939057,7.522878745280337,0.29347826086956524,False,False,0.9407205697528278,2015.0,False,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1
32,CHEMBL434394,NEBIVOLOL,6.538277017844531,0.4517212121212121,0.2972972972972973,CHEMBL6035876,7.031050319018657,0.30985915492957744,True,False,0.9390448261416003,2007.0,False,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
33,CHEMBL2105719,DACOMITINIB,6.66385215999945,0.625,0.28125,CHEMBL4447280,7.747146969020107,0.35714285714285715,True,False,0.9371596145789695,2018.0,False,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1
34,CHEMBL3127326,OMBITASVIR,7.029491342251896,0.698,0.26666666666666666,CHEMBL4848366,8.040958607678906,0.26666666666666666,False,False,0.9371596145789693,2014.0,False,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C
35,CHEMBL2105275,PROPYLHEXEDRINE,6.605111315062413,0.304,0.2857142857142857,CHEMBL5787255,7.809668301829708,0.2857142857142857,False,False,0.9356933389191454,,True,CNC(C)CC1CCCCC1
36,CHEMBL1487,ATORVASTATIN,6.725570974646624,0.6303111111111112,0.2727272727272727,CHEMBL4578040,8.070581074285707,0.2857142857142857,False,False,0.9329702555509007,1996.0,False,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
