split,metric,mean,std
random,AUROC,0.9357804670939736,0.009377391924250198
scaffold,AUROC,0.9073296820184892,0.024005610473805495
random,RMSE,0.6279574469208745,0.01494142696920326
scaffold,RMSE,0.7203925052662726,0.07247594353223848
random,R2,0.696732268196613,0.018924188726825227
scaffold,R2,0.5959345166828124,0.047688824932389934
