clean_smiles,pIC50_ido1,pIC50_tdo2
CC(C)(C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,7.958607314841775,4.319664486585436
CC(C)(C)C1CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,6.291579099865287,5.555955204081924
CC(C)(C)C1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,6.022276394711152,5.363512103646634
CC(C)(C)OC(=O)N1CCC(CNc2cc(Br)cc3[nH]ncc23)C1,5.044793462458058,5.866461091629782
CC(C)(C)OC(=O)N1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,5.72584215073632,6.886056647693163
CC(C)(C)c1sc2cncn2c1C(O)C1CCCCC1,6.048176964684088,5.688246138944246
CC(C)(C)c1sc2cncn2c1C(O)CC1CCCCC1,6.048176964684088,5.671620396561262
CC(C)C1(C)CCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.478861916295964,6.2373214362725635
CC(C)C1CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,6.991399828238082,5.832682665251824
CC(C)C1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,6.291579099865287,5.548213564475709
CC(C)CC1CCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.140861702705469,5.696803942579511
CC(C)Cc1sc2cncn2c1C(O)C1CCCCC1,6.361510743045363,6.2343314452409855
CC(C)Cc1sc2cncn2c1C(O)CC1CCCCC1,6.07727454200674,5.97061622231479
CC(C)c1sc2cncn2c1[C@@H](O)C1CCCCC1,7.931814138253839,6.219682687859849
CC(C)c1sc2cncn2c1[C@@H](O)CC1CCCCC1,7.809668301829708,6.413412695328245
CC(C1CCCCC1)C(O)c1c(C2CC2)sc2cncn12,7.0589857562944305,6.0851281824599495
CC(CC(O)c1c(C2CC2)sc2cncn12)C1CCCCC1,6.906578314837765,6.031050319018657
CC1(C(O)c2c(C(F)(F)F)sc3cncn23)CCCC1,7.787812395596042,7.262012673666569
CC1(C(O)c2c(C3CC3)sc3cncn23)CCCCC1,7.97469413473523,6.982966660701219
CC1(C(O)c2c(C3CC3)sc3cncn23)CCCCCC1,7.493494967595128,6.508638306165727
CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(CCl)coc2-1,6.510681525807763,6.71356419889976
CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(CF)coc2-1,6.281918676479622,6.190401142103527
CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,6.0117791553105775,6.0972495709208
CC1(C)C(=O)CCc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,6.5713337517843655,6.101712833394785
CC1(C)CC(C(O)c2c(C(F)(F)F)sc3cncn23)C1,8.008330992620051,6.0400051616715835
CC1(C)CC(C(O)c2c(C3CC3)sc3cncn23)C1,8.269217724333611,6.570247719997592
CC1(C)CC([C@H](O)c2c(C3CC3)sc3cncn23)C1,8.298432014944073,6.609064892896621
CC1(C)CCC(C(O)c2c(C(F)(F)F)sc3cncn23)C1,7.246416941107094,6.035269078946371
CC1(C)CCC(C(O)c2c(C(F)(F)F)sc3cncn23)CC1,7.2343314452409855,5.557520230935552
CC1(C)CCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.72584215073632,6.542118103266008
CC1(C)CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,7.598599459218456,6.412289034981089
CC1(C)CCC(C)(C(O)c2c(C3CC3)sc3cncn23)C1,7.728158393463501,6.82102305270683
CC1(C)CCC(CC(O)c2c(C(F)(F)F)sc3cncn23)C1,6.504455662453552,5.071092309756048
CC1(C)CCC(CC(O)c2c(C(F)(F)F)sc3cncn23)CC1,6.349692476868063,5.137868620686962
CC1(C)CCC(CC(O)c2c(C3CC3)sc3cncn23)C1,7.404503778174426,6.493494967595128
CC1(C)CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,7.123782159408358,6.110698297493689
CC1(C)CCC(C[C@@H](O)c2c(C3CC3)sc3cncn23)C1,7.709965388637482,6.581698708680254
CC1(C)CCCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.397940008672037,6.5934598195660445
CC1(C)CCCC(CC(O)c2c(C3CC3)sc3cncn23)C1,7.070070439915412,6.262807357295263
CC1(C)CCCC1C(O)c1c(C2CC2)sc2cncn12,7.130768280269024,6.876148359032914
CC1(C)CCCCC1CC(O)c1c(C2CC2)sc2cncn12,6.832682665251824,6.530177984021837
CC1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,5.97061622231479,5.7453315209911775
CC1(C)CC[C@H]([C@@H](O)c2c(C3CC3)sc3cncn23)C1,8.22257317761069,6.721246399047171
CC1(C)CC[C@H]([C@H](O)c2c(C3CC3)sc3cncn23)C1,7.823908740944319,6.484126156288321
