clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains
C=C[C@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,7.920818753952375,CHEMBL5285519,1,,False
C=Cc1cc(OC)c2c(c1)c(=O)oc1c2cc(OC)c2c(O)ccc([C@@H]3O[C@H](C)[C@H](O)[C@@](C)(O)[C@H]3O)c21,4.645891560852599,CHEMBL4072918,1,,False
C=Cc1sc2cncn2c1C(O)C1CCCCC1,7.841637507904751,CHEMBL5879847,1,,False
C=Cc1sc2cncn2c1C(O)CC1CCCCC1,7.978810700930062,CHEMBL5807169,1,,False
C=Cc1sc2cncn2c1[C@@H](O)C1CCCCC1,8.334419008982048,CHEMBL5991135,1,,False
CC#CCSc1nonc1C(=N)Nc1ccc(F)c(Br)c1,6.772113295386326,CHEMBL5771810,1,,False
CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,6.443697499232712,CHEMBL4290045,1,,False
CC(=O)/C=C1\C(=O)Nc2ccccc21,5.772113295386326,CHEMBL1213045,1,,False
CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,6.721246399047171,CHEMBL4279365,1,,False
CC(=O)CC(=O)CC1(O)C(=O)Nc2ccc(Cl)cc21,6.050609993355087,CHEMBL4289204,1,,False
CC(=O)CC(=O)CC1(O)C(=O)Nc2ccccc21,6.346787486224656,CHEMBL4294515,1,,False
CC(=O)CC1(O)C(=O)Nc2ccc(Cl)cc21,5.705533773838407,CHEMBL4278865,1,,False
CC(=O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.292429823902063,CHEMBL5842714,1,,False
CC(=O)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,5.930848650916859,CHEMBL4566253,2,,False
CC(=O)N1CCC(Sc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,7.001304841688344,CHEMBL5804364,1,,False
CC(=O)N1CCC(c2cc(C(F)(F)F)cn3cncc23)CC1,4.1791420105603,CHEMBL5938798,1,,False
CC(=O)N1CCC2(CC1)CCN(c1cc(C(F)(F)F)cc3cncn13)CC2,5.199970640755866,CHEMBL5859961,1,,False
CC(=O)N1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.959793372425289,CHEMBL3628600,1,,True
CC(=O)N1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.220403508742176,CHEMBL3628597,1,,True
CC(=O)N1CCN(c2cc(C(F)(F)F)cc3cncn23)CC1,4.7594507517174005,CHEMBL5934542,1,,False
CC(=O)N1CCN(c2cc(C(F)(F)F)cn3cncc23)CC1,4.0,CHEMBL5816105,1,,False
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.548455006504028,CHEMBL157101,2,KETOCONAZOLE,True
CC(=O)N1CCc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc21,7.460923901207224,CHEMBL3764319,1,,False
CC(=O)NC(CO)COc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.476253533188435,CHEMBL5945250,1,,False
CC(=O)NC12CC(NC(=O)C(C)[C@H]3[C@@H]4C[C@@H](Oc5ccnc6ccc(F)cc56)C[C@@H]43)(C1)C2,6.376750709602099,CHEMBL5930506,1,,False
CC(=O)NC1=CC(=O)c2cc(O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)c(C)cc2C1=O,6.251811972993799,CHEMBL4126044,1,,True
CC(=O)NC1CCN(C(=O)c2nn(CC(=O)N3CCN(c4cccc(C)c4Cl)CC3)c3c2C2CCCCC2C3)CC1,9.229147988357855,CHEMBL4861457,1,,False
CC(=O)NCC(C)Nc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.863279432843593,CHEMBL5912329,1,,False
CC(=O)NCCNc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,7.366531544420414,CHEMBL4582972,3,,False
CC(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.223665891943903,CHEMBL4083203,2,,False
CC(=O)NCCONc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,6.790484985457369,CHEMBL5990782,1,,False
CC(=O)NCCOc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,7.232844133917819,CHEMBL5782911,1,,False
CC(=O)NCCOc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.3223930472795065,CHEMBL5771949,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(Br)cc21,5.707743928643524,CHEMBL5872818,3,,False
CC(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(Cl)cc21,7.069560405233299,CHEMBL6002994,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)NC1Cc2c(F)cccc21,4.47716468633947,CHEMBL5835484,1,,False
