molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL1689772,OMADACYCLINE,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,2018.0,5.67,5.23,5.45,0.44,4.24,4.05,4.05,0.066,0.061,0.16,False
CHEMBL972,SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,1989.0,5.48,5.26,5.37,0.22,4.05,4.08,4.05,0.055,0.055,0.213,False
CHEMBL167731,PIXANTRONE,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,2012.0,5.6,5.23,5.42,0.37,4.18,4.05,4.05,0.061,0.061,0.236,False
CHEMBL2021430,DEXAMETHASONE SODIUM PHOSPHATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],1959.0,5.58,5.22,5.4,0.36,4.15,4.05,4.05,0.044,0.044,0.202,False
CHEMBL416146,ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,5.7,5.23,5.46,0.46,4.27,4.05,4.05,0.066,0.061,0.3,True
CHEMBL85231,MEDIFOXAMINE,CN(C)CC(Oc1ccccc1)Oc1ccccc1,,5.48,5.29,5.38,0.19,4.05,4.11,4.05,0.055,0.055,0.225,False
CHEMBL1201302,DEXAMETHASONE PHOSPHORIC ACID,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,1959.0,5.61,5.22,5.42,0.39,4.19,4.05,4.05,0.05,0.05,0.204,False
CHEMBL1200806,NAPROXEN SODIUM,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,1980.0,5.48,5.29,5.39,0.19,4.05,4.12,4.05,0.061,0.061,0.269,False
CHEMBL945,AMILORIDE,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,1981.0,5.48,5.24,5.36,0.23,4.05,4.07,4.05,0.055,0.055,0.172,False
CHEMBL719,MUPIROCIN,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,1987.0,5.48,5.64,5.56,-0.16,4.05,4.46,4.05,0.099,0.094,0.124,False
CHEMBL1200762,BETAMETHASONE SODIUM PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],1965.0,5.58,5.22,5.4,0.36,4.15,4.05,4.05,0.044,0.044,0.202,False
CHEMBL1471,APREPITANT,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2003.0,6.04,5.22,5.63,0.81,4.61,4.05,4.05,0.077,0.072,0.23,False
CHEMBL1404,RANOLAZINE,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,2006.0,6.41,5.23,5.82,1.18,4.98,4.05,4.05,0.11,0.083,0.277,False
CHEMBL1200732,AMCINONIDE,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1979.0,5.48,5.45,5.46,0.02,4.05,4.28,4.05,0.072,0.072,0.255,False
CHEMBL1405,ESTRONE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,1979.0,5.57,5.22,5.4,0.35,4.14,4.05,4.05,0.044,0.044,0.192,False
CHEMBL1532,QUINETHAZONE,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1963.0,6.2,5.23,5.71,0.97,4.77,4.05,4.05,0.094,0.088,0.21,False
CHEMBL260538,ULIPRISTAL ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,2009.0,5.95,5.23,5.59,0.72,4.52,4.05,4.05,0.077,0.072,0.198,False
CHEMBL1201207,BETAMETHASONE PHOSPHORIC ACID,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,1965.0,5.61,5.22,5.42,0.39,4.19,4.05,4.05,0.05,0.05,0.204,False
CHEMBL5189739,BEROTRALSTAT,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,2020.0,7.32,5.22,6.27,2.11,5.89,4.04,4.04,0.105,0.039,0.221,False
CHEMBL1770916,NIROGACESTAT,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,2023.0,7.11,5.21,6.16,1.9,5.69,4.04,4.04,0.105,0.05,0.208,False
