clean_smiles,pIC50_ido1,pIC50_tdo2,ido1_molid,tdo2_molid,src_doc,year,same_doc,M,D,scaffold
Brc1cc(NCC2CCCCC2)c2cn[nH]c2c1,5.962573502059376,6.0655015487564325,CHEMBL5218714,CHEMBL5218714,CHEMBL5214905,2021,True,6.014037525407904,-0.10292804669705635,c1cc(NCC2CCCCC2)c2cn[nH]c2c1
Brc1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1,4.4939010400715595,5.690369832574102,CHEMBL5218741,CHEMBL5218741,CHEMBL5214905,2021,True,5.092135436322831,-1.1964687925025421,c1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1
Brc1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,4.861697301833718,5.217527375833714,CHEMBL5219328,CHEMBL5219328,CHEMBL5214905,2021,True,5.039612338833717,-0.35583007399999556,c1cc(NCC2CCCCN2)c2cn[nH]c2c1
Brc1cc(NC[C@@H]2CCCN2)c2cn[nH]c2c1,5.324221658325915,5.379863945026242,CHEMBL5220477,CHEMBL5220477,CHEMBL5214905,2021,True,5.352042801676079,-0.055642286700327226,c1cc(NCC2CCCN2)c2cn[nH]c2c1
Brc1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,4.760450279159527,5.7447274948966935,CHEMBL5220520,CHEMBL5220520,CHEMBL5214905,2021,True,5.252588887028111,-0.9842772157371664,c1cc(NCC2CCCCN2)c2cn[nH]c2c1
Brc1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,4.248336053739013,5.127843727251707,CHEMBL5221102,CHEMBL5221102,CHEMBL5214905,2021,True,4.688089890495361,-0.8795076735126939,c1cc(NCC2CCCN2)c2cn[nH]c2c1
Brc1cc(NCc2cccc3nonc23)c2cn[nH]c2c1,6.130768280269024,5.531652669587842,CHEMBL4570374,CHEMBL4570374,CHEMBL4368939,2019,True,5.831210474928433,0.5991156106811815,c1cc(CNc2cccc3[nH]ncc23)c2nonc2c1
Brc1cc(NCc2ccccn2)c2cn[nH]c2c1,4.2877713303804645,5.507239610973162,CHEMBL5219298,CHEMBL5219298,CHEMBL5214905,2021,True,4.897505470676814,-1.2194682805926975,c1ccc(CNc2cccc3[nH]ncc23)nc1
Brc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,5.305394801066432,4.692717952966654,CHEMBL5172850,CHEMBL5172850,CHEMBL5137086,2022,True,4.999056377016543,0.6126768480997775,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1,6.4604093769761874,6.301029995663981,CHEMBL4279234,CHEMBL4279234,CHEMBL4257081,2016,True,6.380719686320084,0.1593793813122062,c1ccc(Nc2coc3cnccc23)cc1
