clean_smiles,pIC50,molecule_chembl_id,n,pref_name,pains,MW,LogP,TPSA,QED,scaffold
Clc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,5.081445469449727,CHEMBL5187479,1,,False,278.742,5.036500000000003,28.68,0.5192472035812297,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
Clc1ccc2[nH]cc(/C=C/c3cccnc3)c2c1,5.0,CHEMBL1812512,1,,False,254.72000000000003,4.386700000000002,28.68,0.7220400645371049,C(=C/c1c[nH]c2ccccc12)\c1cccnc1
Clc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,5.301029995663981,CHEMBL1812520,1,,False,254.72000000000003,4.386700000000003,28.68,0.7220400645371049,C(=C/c1c[nH]c2ccccc12)\c1cccnc1
Clc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,4.873219422987991,CHEMBL5180636,1,,False,278.742,5.036500000000003,28.68,0.5192472035812297,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
Clc1cccc2c(/C=C/c3cccnc3)c[nH]c12,4.586315363473087,CHEMBL1812527,2,,False,254.72000000000003,4.386700000000003,28.68,0.7220400645371049,C(=C/c1c[nH]c2ccccc12)\c1cccnc1
Cn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)c(F)c2)cn1,6.756112751309667,CHEMBL4471614,2,,False,431.4900000000001,5.048200000000005,38.88,0.45581949439713493,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cn[nH]c3)cc2)CC1
Cn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2)cn1,6.87942606879415,CHEMBL4459856,2,,False,413.5000000000001,4.909100000000005,38.88,0.47910548466619984,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cn[nH]c3)cc2)CC1
Cn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2F)cn1,7.18842706268103,CHEMBL4445809,2,,False,431.4900000000001,5.048200000000005,38.88,0.45581949439713493,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cn[nH]c3)cc2)CC1
Cn1cc(-c2ccc(N3CCC([C@H]4c5c(F)cccc5-c5cncn54)CC3)cc2)cn1,7.421090357791352,CHEMBL4522927,2,,False,413.5000000000001,4.909100000000005,38.88,0.47910548466619984,c1ccc2c(c1)-c1cncn1[C@H]2C1CCN(c2ccc(-c3cn[nH]c3)cc2)CC1
Cn1cc(-c2ccc(NC(N)=O)cc2)c2ccc(F)cc21,7.107905397309519,CHEMBL5219853,1,,False,283.30600000000004,3.4750000000000014,60.050000000000004,0.742905449424477,c1ccc(-c2c[nH]c3ccccc23)cc1
Cn1cc(-c2cccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)c2)cn1,6.1944991418416,CHEMBL4585863,1,,False,413.5000000000001,4.909100000000005,38.88,0.47910548466619984,c1cc(-c2cn[nH]c2)cc(N2CCC(C3c4ccccc4-c4cncn43)CC2)c1
Cn1cc(-c2cnc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)nc2)cn1,6.2373214362725635,CHEMBL4518260,1,,False,415.47600000000017,3.6991000000000023,64.66,0.5105620432675517,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ncc(-c3cn[nH]c3)cn2)CC1
Cn1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cn1,6.301029995663981,CHEMBL4288214,1,,False,357.7760000000001,4.346600000000001,81.9,0.5694108605926195,c1ccc(Nc2coc3c(-c4cn[nH]c4)nccc23)cc1
Cn1ccc2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc21,6.424812155072339,CHEMBL4562566,1,,False,386.47400000000016,5.000300000000005,25.990000000000002,0.48451436383196955,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc3cc[nH]c3c2)CC1
Cn1ncc2c(NC[C@@H]3CCCC[C@H]3O)cc(Br)cc21,4.478338984887927,CHEMBL5220840,1,,False,338.24899999999997,3.2988000000000017,50.08,0.9028721990106585,c1cc(NCC2CCCCC2)c2cn[nH]c2c1
Cn1nnc2cc(-c3c[nH]c4ccccc34)ccc21,5.820309956062683,CHEMBL4863714,2,,False,248.289,3.116600000000001,46.5,0.5622737386881551,c1ccc2c(-c3ccc4[nH]nnc4c3)c[nH]c2c1
Cn1nnc2ccc(-c3c[nH]c4ccccc34)c(N)c21,5.709417857679163,CHEMBL4875453,2,,False,263.30400000000003,2.6988000000000003,72.52,0.5185119306764028,c1ccc2c(-c3ccc4nn[nH]c4c3)c[nH]c2c1
FC(F)(F)Cn1nnc2cc(-c3c[nH]c4ccccc34)ccc21,5.590228032229065,CHEMBL4853909,2,,False,316.2860000000001,4.1419000000000015,46.5,0.6039055013885811,c1ccc2c(-c3ccc4[nH]nnc4c3)c[nH]c2c1
FC(F)(F)Cn1nnc2ccc(-c3c[nH]c4ccccc34)cc21,6.221246399047171,CHEMBL4871568,2,,False,316.2860000000001,4.1419000000000015,46.5,0.6039055013885811,c1ccc2c(-c3ccc4nn[nH]c4c3)c[nH]c2c1
FC(F)(F)c1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,5.094204119632131,CHEMBL5175666,1,,False,298.31199999999995,3.135700000000001,52.74,0.8157437801952006,c1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1
FC(F)(F)c1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,6.337242168318426,CHEMBL5196865,1,,False,298.31199999999995,3.135700000000001,52.74,0.8157437801952006,c1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1
FC(F)(F)c1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,5.215382707367125,CHEMBL5204912,1,,False,284.28499999999997,2.7456000000000005,52.74,0.8120469172108666,c1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1
FC(F)(F)c1cc(NCc2cccc(Br)c2)c2cn[nH]c2c1,4.719194071606333,CHEMBL5208412,1,,False,370.1720000000001,4.956300000000002,40.71,0.6846241234641041,c1ccc(CNc2cccc3[nH]ncc23)cc1
