molecule_chembl_id,pref_name,smiles,first_approval,oral,withdrawn_flag,clean_smiles,ido1_pred,tdo2_pred,ido1_prob,tdo2_prob,ido1_ad,tdo2_ad,selectivity
CHEMBL2104489,ANAGESTONE ACETATE,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,,False,True,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,5.470704709161989,5.414640386030424,0.3023333333333334,0.229,0.1875,0.17073170731707318,0.056064323131565175
CHEMBL2104537,AMOPROXAN,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,,False,True,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,6.443506078492262,5.617834732189386,0.2985333333333333,0.192,0.2558139534883721,0.21518987341772153,0.825671346302876
CHEMBL2104594,CALCIUM GLUBIONATE,O.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2],,False,False,O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,5.135120385022951,5.49225544857217,0.293,0.21733333333333332,0.1891891891891892,0.13513513513513514,-0.35713506354921876
CHEMBL2104910,SULFADICRAMIDE,CC(C)=CC(=O)NS(=O)(=O)c1ccc(N)cc1,,False,True,CC(C)=CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.43650205826463,5.814457538884296,0.174,0.22966666666666666,0.3404255319148936,0.23636363636363636,-0.3779554806196659
CHEMBL2104993,VORTIOXETINE,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,2013.0,True,False,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,4.785227174304943,5.580573990135849,0.092,0.272,0.2962962962962963,0.23529411764705882,-0.7953468158309063
CHEMBL2105023,INDIGOTINDISULFONATE SODIUM,O=C1/C(=C2\Nc3ccc(S(=O)(=O)[O-])cc3C2=O)Nc2ccc(S(=O)(=O)[O-])cc21.[Na+].[Na+],2022.0,False,False,O=C1/C(=C2\Nc3ccc(S(=O)(=O)[O-])cc3C2=O)Nc2ccc(S(=O)(=O)[O-])cc21,5.435232234869283,4.752925798345125,0.12836666666666668,0.186,0.28,0.28,0.6823064365241578
CHEMBL2105131,MEFRUSIDE,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,,False,False,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,5.349032554518796,5.115205343737069,0.30066666666666664,0.287,0.22388059701492538,0.24324324324324326,0.23382721078172697
CHEMBL2105224,PHOLCODINE,CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,,False,True,CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,5.526883289915451,6.053684670610051,0.43879999999999997,0.334,0.22105263157894736,0.18691588785046728,-0.5268013806945993
CHEMBL2105233,PROXIBARBAL,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,,False,True,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,5.559699061804514,5.35676438872827,0.1491666666666667,0.154,0.2033898305084746,0.16981132075471697,0.20293467307624358
CHEMBL2105275,PROPYLHEXEDRINE,CNC(C)CC1CCCCC1,,False,True,CNC(C)CC1CCCCC1,6.605111315062413,5.591687869328218,0.304,0.2998,0.2857142857142857,0.2857142857142857,1.0134234457341948
CHEMBL2105345,PROPANIDID,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,,False,True,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,5.236405830950678,5.310249765541973,0.287,0.192,0.2753623188405797,0.2753623188405797,-0.07384393459129512
CHEMBL2105395,OSPEMIFENE,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,2013.0,True,False,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,4.941365730064274,5.427429403236309,0.13,0.19,0.30434782608695654,0.20408163265306123,-0.48606367317203514
CHEMBL2105420,TAUROLIDINE,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,2023.0,False,False,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,5.214598272190694,5.5056263355549575,0.195625,0.256,0.12857142857142856,0.11764705882352941,-0.2910280633642639
CHEMBL2105458,THENALIDINE,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,,False,True,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,4.985673812030169,5.653778185349417,0.2132,0.247,0.21428571428571427,0.21428571428571427,-0.668104373319248
CHEMBL2105497,ZIPEPROL,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,,False,True,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,5.719921953624162,5.268899912762343,0.13466666666666666,0.227,0.27586206896551724,0.24489795918367346,0.45102204086181885
CHEMBL2105527,TETRAZEPAM,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,,False,True,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,5.5960502822271545,5.92246863004939,0.33,0.244,0.27586206896551724,0.24390243902439024,-0.32641834782223533
CHEMBL2105566,FENPROPOREX,CC(Cc1ccccc1)NCCC#N,,False,True,CC(Cc1ccccc1)NCCC#N,5.163236777952029,5.492063919004075,0.204,0.154,0.2972972972972973,0.20833333333333334,-0.328827141052046
CHEMBL2105581,VERALIPRIDE,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,1979.0,False,True,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,5.9783425224416815,5.260884217861086,0.38,0.2148,0.2777777777777778,0.21649484536082475,0.7174583045805951
