r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
c1ccc(C2CCC(*)CC2)cc1,c1ccc(*)cc1,3,0.2,-0.67,-0.13,0.54
CC1(C)CC(*)C1,CC1(C)CCC(*)C1,3,-0.41,-0.57,-0.69,-0.12
Clc1cccc(*)c1,Cc1cccc(*)c1,3,0.0,-0.84,-0.42,0.42
c1ccc(*)cc1,Cc1ccc(*)cc1,3,-0.35,-0.1,-0.4,-0.3
OC(CC1CCCC1)*,OC(CC1CCCCC1)*,3,0.07,0.44,0.29,-0.15
OC(CC1CCCC1)*,OC(C1CCCC1)*,3,0.3,-0.05,0.27,0.33
OC(CC1CCCC1)*,OC(C1CCCCC1)*,3,0.5,-0.08,0.46,0.54
OC(CC1CCCC1)*,OC(c1ccccc1)*,3,-0.28,-0.15,-0.36,-0.21
CC1(C)CC(*)C1,C1CCC(C*)CC1,3,-0.49,0.01,-0.49,-0.5
CC1CCCC(*)C1,C1CCC(*)C1,3,0.1,0.06,0.14,0.07
c1ccc(*)cc1,c1cc(*)cs1,3,0.03,0.08,0.07,-0.0
Fc1ccccc1*,c1cc(*)cs1,3,0.06,0.16,0.14,-0.02
c1ccc(*)cc1,FC1(F)CC(*)C1,3,-0.25,0.28,-0.11,-0.39
FC(F)(F)c1ccc(*)cc1,COc1ccc(*)cc1,3,0.81,0.18,0.91,0.72
Clc1cccc(*)c1,Clc1ccc(*)cc1,3,0.2,0.03,0.21,0.18
c1cc(*)cs1,c1ccc(*)cc1,3,-0.03,-0.08,-0.07,0.0
OC(CC1CCCCC1)*,OC(c1cccs1)*,3,-0.14,-0.38,-0.33,0.05
OC(C1CCCC1)*,OC(c1cccs1)*,3,-0.54,-0.02,-0.55,-0.54
CC1(C)CC(*)C1,C1CCC(*)C1,3,-0.35,-0.64,-0.67,-0.03
C*,CC(=O)OC*,3,0.25,0.3,0.4,0.1
OC*,CC(=O)OC*,3,-0.07,0.06,-0.04,-0.1
CCC*,CC(C)(C)*,3,-0.77,-0.33,-0.93,-0.6
CC(=O)OC*,C*,3,-0.25,-0.3,-0.4,-0.1
CC(=O)OC*,OC*,3,0.07,-0.06,0.04,0.1
O*,F*,3,0.89,-0.03,0.88,0.91
CC1(*)CCCCC1,C1CCC(*)CC1,3,-0.07,0.2,0.03,-0.18
F*,O*,3,-0.89,0.03,-0.88,-0.91
CCC*,C1CCC(*)C1,3,-0.24,-0.68,-0.58,0.1
c1cc(*)cs1,C1CC1*,3,0.25,0.99,0.75,-0.24
OC(C1CCCC1)*,OC(C1CCCCC1)*,3,0.11,-0.03,0.09,0.12
OC(C1CCCC1)*,OC(CC1CCCCC1)*,3,-0.33,0.36,-0.15,-0.52
Fc1ccccc1*,Fc1cccc(*)c1,3,-0.03,0.15,0.05,-0.1
c1cc(*)cs1,Fc1ccccc1*,3,-0.06,-0.16,-0.14,0.02
CC1(C)CC(*)C1,CC1(*)CCCCC1,3,0.08,-0.62,-0.23,0.38
OC(C1CCCC1)*,OC(CC1CCCC1)*,3,-0.3,0.05,-0.27,-0.33
CC*,c1ccc(C*)cc1,3,-1.28,-0.53,-1.54,-1.02
C1CCC(*)CC1,C1CCCC(*)CC1,3,-0.08,0.02,-0.07,-0.09
c1ccc(C2CCCC2*)cc1,c1ccc(C2CCC(*)CC2)cc1,2,0.21,0.01,0.21,0.2
Fc1ccc(*)cc1,Cc1ccccc1*,2,-0.16,-0.72,-0.52,0.2
c1ccc(C2CCCC2*)cc1,C1CCCC(*)CC1,2,1.03,0.02,1.04,1.02
Fc1ccc(*)cc1,c1csc(*)c1,2,0.03,0.08,0.07,-0.01
c1ccc(C2CCCC2*)cc1,Cc1ccccc1*,2,0.01,-1.11,-0.54,0.56
FC(F)(F)c1ccc(*)cc1,c1csc(*)c1,2,0.37,-0.35,0.2,0.54
FC(F)(F)c1cccc(*)c1,Fc1ccc(*)cc1,2,0.42,0.64,0.75,0.1
C1CCC(*)CC1,Cc1ccccc1*,2,-1.03,-1.12,-1.58,-0.47
C1CCC(*)CC1,COC1CCCC(*)C1,2,-0.6,0.09,-0.56,-0.65
c1ccc(C2CCCC2*)cc1,C1CC(*)C1,2,0.76,0.04,0.78,0.75
c1ccc(C2CCCC2*)cc1,COC1CCCC(*)C1,2,0.43,0.1,0.48,0.38
Fc1ccc(*)cc1,Fc1ccccc1*,2,-0.09,-0.08,-0.13,-0.05
FC(F)(F)c1ccc(*)cc1,c1ccc(*)cc1,2,0.57,0.23,0.69,0.46
c1ccc(C2CCCC2*)cc1,C1CC(C2CCC(*)CC2)C1,2,0.1,-0.35,-0.07,0.28
Fc1ccc(*)cc1,FC(F)(F)c1cccc(*)c1,2,-0.42,-0.64,-0.75,-0.1
c1ccc(C2CCCC2*)cc1,C1CCC2CC(*)CCC2C1,2,0.2,-0.6,-0.1,0.5
C1CCC(*)CC1,C1CCCC(C*)CC1,2,-0.35,0.01,-0.34,-0.35
c1ccc(C2CCCC2*)cc1,FC(F)(F)C1CCCC(*)C1,2,0.53,-0.28,0.4,0.67
C1CCC(*)CC1,c1ccc(C*)cc1,2,-0.93,-0.4,-1.13,-0.73
Clc1ccc(*)cc1,COc1ccccc1*,2,-0.65,0.14,-0.58,-0.72
Clc1ccc(*)cc1,FC(F)(F)c1ccc(*)cc1,2,-0.24,0.04,-0.22,-0.27
Fc1ccc(*)cc1,Cc1ccc(*)cc1,2,0.08,-0.17,-0.0,0.17
Clc1ccc(*)cc1,Clc1ccccc1*,2,-0.56,-0.38,-0.75,-0.37
c1ccc(C2CCCC2*)cc1,C1CCC(*)CC1,2,1.04,0.01,1.04,1.03
c1ccc(C2CCCC2*)cc1,C1CCC(*)C1,2,1.04,0.06,1.07,1.01
c1ccc(C2CCCC2*)cc1,FC(F)(F)C1CCC(*)CC1,2,0.68,-0.34,0.51,0.84
Clc1ccc(*)cc1,c1cc(*)cs1,2,0.09,-0.01,0.08,0.09
C1CCC(*)CC1,CC1CCCC1*,2,0.12,-0.84,-0.3,0.55
c1ccc(C2CCCC2*)cc1,c1ccc(*)cc1,2,0.47,-0.42,0.26,0.68
C1CCC(*)CC1,CC1CCC(*)C1,2,-0.11,0.08,-0.07,-0.15
C1CCCC(*)CC1,COC1CCCC(*)C1,2,-0.6,0.08,-0.55,-0.64
C1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.5,-0.29,-0.65,-0.36
C1CCCC(*)CC1,CCC1CCC(*)CC1,2,-0.44,-0.07,-0.47,-0.41
C1CCCC(*)CC1,CC1CCCC(*)C1,2,-0.02,0.0,-0.01,-0.02
C1CCCC(*)CC1,CC1CCC(*)CC1,2,-0.12,-0.11,-0.18,-0.07
C1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-1.04,-0.01,-1.04,-1.03
C1CCCC(*)CC1,CC1(C)CCCC(*)C1,2,-0.22,-0.55,-0.5,0.06
C1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-1.25,-0.65,-1.58,-0.93
C1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.9,-0.4,-1.09,-0.7
C1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.84,-0.61,-1.14,-0.53
C1CCC(*)CC1,CC1(C)CCCC(*)C1,2,-0.23,-0.54,-0.5,0.04
C1CCC(*)CC1,CC(C1CCCCC1)*,2,-0.54,-0.42,-0.75,-0.33
C1CCCC(*)CC1,CC1(C)CCC(*)CC1,2,-0.24,-0.26,-0.37,-0.11
C1CCCC(*)CC1,CC1(*)CCCCC1,2,0.21,-0.51,-0.05,0.46
C1CCC(*)CC1,CC1(C)CCC(C*)C1,2,-0.68,-0.13,-0.74,-0.61
C1CCCC(*)CC1,CC(C1CCCCC1)*,2,-0.53,-0.43,-0.75,-0.31
C1CCCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.89,-0.41,-1.09,-0.68
C1CCCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-1.24,-0.66,-1.57,-0.91
C1CCCC(*)CC1,Cc1ccccc1*,2,-1.02,-1.13,-1.58,-0.46
C1CCC(*)CC1,C1CC(*)C1,2,-0.27,0.03,-0.26,-0.29
FC(F)(F)c1ccc(*)cc1,Clc1ccc(*)cc1,2,0.24,-0.04,0.22,0.27
C1CCCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.49,-0.3,-0.64,-0.35
C1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,-0.36,-0.35,-0.54,-0.19
C1CCCC(*)CC1,OC1CCC(*)CC1,2,-0.49,0.24,-0.37,-0.61
C1CCCC(*)CC1,c1csc(*)c1,2,-0.52,-0.06,-0.55,-0.49
C1CCCC(*)CC1,c1ccc(*)cc1,2,-0.56,-0.44,-0.78,-0.34
C1CCC(*)CC1,CCC1CCC(*)CC1,2,-0.45,-0.06,-0.48,-0.42
C1CCCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-1.03,-0.02,-1.04,-1.02
C1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.94,-0.36,-1.12,-0.76
C1CCC(*)CC1,CC1CCCCC1C*,2,-0.52,-0.22,-0.63,-0.42
C1CCC(*)CC1,OC1CCC(*)CC1,2,-0.5,0.25,-0.37,-0.62
C1CCCC(*)CC1,C1CCC(C*)CC1,2,-0.24,0.31,-0.08,-0.39
C1CCCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.83,-0.62,-1.14,-0.52
C1CCCC(*)CC1,C1CC(*)C1,2,-0.27,0.02,-0.26,-0.27
c1ccc(C2CCCC2*)cc1,OC1CCC(*)CC1,2,0.54,0.26,0.67,0.41
C1CCCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.82,-0.01,-0.83,-0.81
C1CCCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.93,-0.37,-1.11,-0.74
C1CCCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,-0.35,-0.36,-0.53,-0.17
C1CCC(*)CC1,CC1CCCC(C*)C1,2,-0.53,0.02,-0.52,-0.54
C1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.83,-0.0,-0.83,-0.83
C1CC[C@@H](CN*)NC1,C1CC[C@H](CN*)NC1,2,0.39,-0.99,-0.1,0.89
FC(F)(F)C1CCCC(*)C1,CC(C1CCCCC1)*,2,-0.04,-0.14,-0.11,0.03
c1ccc(C2CCCC2*)cc1,CCC1CCC(*)CC1,2,0.59,-0.05,0.56,0.61
C1CC(C2CCC(*)CC2)C1,CC1(C)CCC(*)C1,2,0.92,0.06,0.94,0.89
C1CC(C2CCC(*)CC2)C1,C1CC(*)C1,2,0.66,0.38,0.85,0.47
C1CC(C2CCC(*)CC2)C1,c1ccc(C2CCC(*)CC2)cc1,2,0.11,0.36,0.29,-0.07
C1CC(C2CCC(*)CC2)C1,FC(F)(F)C1CCC(*)CC1,2,0.57,0.01,0.58,0.57
C1CC(C2CCC(*)CC2)C1,Cc1ccccc1*,2,-0.09,-0.76,-0.47,0.29
C1CC(C2CCC(*)CC2)C1,COC1CCCC(*)C1,2,0.33,0.45,0.56,0.11
C1CC(C2CCC(*)CC2)C1,CCC1CCC(*)CC1,2,0.49,0.3,0.64,0.34
C1CC(C2CCC(*)CC2)C1,CC1CCCC(*)C1,2,0.91,0.37,1.1,0.73
C1CC(C2CCC(*)CC2)C1,CC1CCC(*)CC1,2,0.8,0.25,0.93,0.68
C1CC(C2CCC(*)CC2)C1,CC1(C)CCCC(*)C1,2,0.71,-0.19,0.61,0.8
C1CC(C2CCC(*)CC2)C1,CC1(C)CCC(*)CC1,2,0.69,0.11,0.74,0.63
C1CC(C2CCC(*)CC2)C1,CC1(*)CCCCC1,2,1.14,-0.14,1.06,1.21
FC(F)(F)C1CCC(*)CC1,C1CC(*)C1,2,0.09,0.37,0.27,-0.1
C1CC(C2CCC(*)CC2)C1,CC(C1CCCCC1)*,2,0.4,-0.07,0.36,0.43
C1CC(C2CCC(*)CC2)C1,CC(C)C1CCC(*)CC1,2,0.04,-0.04,0.02,0.06
C1CC(C2CCC(*)CC2)C1,CC(C)(C)C1CCC(*)CC1,2,-0.32,-0.29,-0.46,-0.17
FC(F)(F)C1CCC(*)CC1,OC1CCC(*)CC1,2,-0.14,0.6,0.16,-0.44
FC(F)(F)C1CCC(*)CC1,c1ccc(*)cc1,2,-0.21,-0.08,-0.25,-0.17
FC(F)(F)C1CCC(*)CC1,C1CCCC(*)CC1,2,0.35,0.36,0.53,0.17
FC(F)(F)C1CCC(*)CC1,C1CCC(*)CC1,2,0.36,0.35,0.54,0.19
FC(F)(F)C1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.68,0.34,-0.51,-0.84
FC(F)(F)C1CCC(*)CC1,C1CCC(*)C1,2,0.37,0.4,0.57,0.17
FC(F)(F)C1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.14,0.06,-0.11,-0.17
C1CC(C2CCC(*)CC2)C1,C1CCC2CC(*)CCC2C1,2,0.1,-0.25,-0.03,0.23
C1CC(C2CCC(*)CC2)C1,FC(F)(F)C1CCCC(*)C1,2,0.43,0.07,0.47,0.4
C1CC(C2CCC(*)CC2)C1,C1CCC(*)C1,2,0.94,0.41,1.15,0.74
C1CC(C2CCC(*)CC2)C1,c1ccc(C2CCCC2*)cc1,2,-0.1,0.35,0.07,-0.28
c1ccc(C2CCC(*)CC2)cc1,C1CC(*)C1,2,0.55,0.03,0.57,0.54
c1ccc(C2CCC(*)CC2)cc1,C1CC(C2CCC(*)CC2)C1,2,-0.11,-0.36,-0.29,0.07
c1ccc(C2CCC(*)CC2)cc1,FC(F)(F)C1CCC(*)CC1,2,0.47,-0.35,0.29,0.64
c1ccc(C2CCC(*)CC2)cc1,C1CCC(C*)CC1,2,0.44,-0.79,0.04,0.83
c1ccc(C2CCC(*)CC2)cc1,Cc1ccccc1*,2,-0.2,-1.11,-0.76,0.36
c1ccc(C2CCC(*)CC2)cc1,COC1CCCC(*)C1,2,0.22,0.09,0.27,0.18
c1ccc(C2CCC(*)CC2)cc1,CCC1CCC(*)CC1,2,0.38,-0.06,0.35,0.41
c1ccc(C2CCC(*)CC2)cc1,CC1CCCC(*)C1,2,0.8,0.01,0.81,0.8
c1ccc(C2CCC(*)CC2)cc1,CC1CCC(*)CC1,2,0.7,-0.1,0.64,0.75
c1ccc(C2CCC(*)CC2)cc1,CC1(C)CCCC(*)C1,2,0.6,-0.54,0.33,0.87
c1ccc(C2CCC(*)CC2)cc1,CC1(C)CCC(C*)C1,2,0.37,-1.18,-0.22,0.96
c1ccc(C2CCC(*)CC2)cc1,CC1(C)CCC(*)CC1,2,0.58,-0.25,0.46,0.7
c1ccc(C2CCC(*)CC2)cc1,CC1(C)CCC(*)C1,2,0.81,-0.3,0.66,0.96
c1ccc(C2CCC(*)CC2)cc1,CC1(*)CCCCC1,2,1.03,-0.5,0.78,1.28
c1ccc(C2CCC(*)CC2)cc1,CC(C1CCCCC1)*,2,0.29,-0.42,0.08,0.5
c1ccc(C2CCC(*)CC2)cc1,CC(C)C1CCC(*)CC1,2,-0.07,-0.4,-0.26,0.13
c1ccc(C2CCC(*)CC2)cc1,CC(C)(C)C1CCC(*)CC1,2,-0.42,-0.65,-0.75,-0.1
C1CC(C2CCC(*)CC2)C1,OC1CCC(*)CC1,2,0.44,0.61,0.74,0.13
C1CC(C2CCC(*)CC2)C1,c1ccc(*)cc1,2,0.37,-0.07,0.33,0.4
C1CC(C2CCC(*)CC2)C1,C1CCCC(*)CC1,2,0.93,0.37,1.11,0.74
C1CC(C2CCC(*)CC2)C1,C1CCC(*)CC1,2,0.94,0.36,1.12,0.76
FC(F)(F)C1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.47,-0.26,-0.6,-0.34
FC(F)(F)C1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.47,0.35,-0.29,-0.64
c1ccc(C2CCC(*)CC2)cc1,FC(F)(F)C1CCCC(*)C1,2,0.33,-0.29,0.18,0.47
Cc1ccccc1*,OC1CCC(*)CC1,2,0.53,1.37,1.21,-0.15
C1CCC(C*)CC1,CC1(*)CCCCC1,2,0.42,-0.55,0.15,0.7
C1CCC(C*)C1,c1csc(*)c1,2,-0.42,-0.07,-0.45,-0.38
C1CCC(C*)C1,C1CCCC(C*)CC1,2,-0.02,0.03,-0.01,-0.04
C1CCC(C*)C1,CC1CCCCC1C*,2,-0.13,-0.2,-0.23,-0.03
C1CCC(C*)C1,CC1CCCC1*,2,0.52,-0.83,0.1,0.93
C1CCC(C*)C1,CC1CCCC(C*)C1,2,-0.13,0.04,-0.11,-0.15
C1CCC(C*)C1,CC1CCC(*)CC1,2,0.1,0.09,0.14,0.05
C1CCC(C*)C1,CC1CCC(*)C1,2,0.29,0.1,0.34,0.24
C1CCC(C*)C1,CC1(C)CCC(C*)C1,2,-0.28,-0.11,-0.34,-0.23
C1CCC(C*)C1,CC1(C)CCC(*)CC1,2,0.05,0.15,0.12,-0.02
Cc1ccccc1*,Clc1cccc(*)c1,2,0.33,0.62,0.64,0.02
FC(F)(F)C1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.57,-0.01,-0.58,-0.57
Cc1ccccc1*,Fc1ccc(*)cc1,2,0.16,0.72,0.52,-0.2
Cc1ccccc1*,C1CCCC(*)CC1,2,1.02,1.13,1.58,0.46
Cc1ccccc1*,C1CCC(*)CC1,2,1.03,1.12,1.58,0.47
Cc1ccccc1*,c1ccc(C2CCCC2*)cc1,2,-0.01,1.11,0.54,-0.56
Cc1ccccc1*,C1CCC(*)C1,2,1.03,1.17,1.62,0.45
Cc1ccccc1*,FC(F)(F)C1CCCC(*)C1,2,0.52,0.83,0.94,0.11
Cc1ccccc1*,C1CCC2CC(*)CCC2C1,2,0.19,0.51,0.44,-0.06
Cc1ccccc1*,C1CC(*)C1,2,0.75,1.14,1.32,0.18
Cc1ccccc1*,c1ccc(C2CCC(*)CC2)cc1,2,0.2,1.11,0.76,-0.36
Cc1ccccc1*,C1CC(C2CCC(*)CC2)C1,2,0.09,0.76,0.47,-0.29
C1CCC(C*)CC1,CC1(C)CCC(*)C1,2,0.25,-0.34,0.08,0.42
C1CCC(C*)CC1,CC1(C)CCC(*)CC1,2,0.07,-0.11,0.01,0.12
C1CCC(C*)CC1,CC1CCC(*)C1,2,0.3,-0.16,0.22,0.38
C1CCC(C*)CC1,CC1CCC(*)CC1,2,0.11,-0.16,0.03,0.2
FC(F)(F)C1CCC(*)CC1,Cc1ccccc1*,2,-0.66,-0.77,-1.05,-0.28
FC(F)(F)C1CCC(*)CC1,COC1CCCC(*)C1,2,-0.24,0.44,-0.02,-0.46
FC(F)(F)C1CCC(*)CC1,CCC1CCC(*)CC1,2,-0.09,0.29,0.06,-0.23
FC(F)(F)C1CCC(*)CC1,CC1CCCC(*)C1,2,0.34,0.36,0.52,0.16
FC(F)(F)C1CCC(*)CC1,CC1CCC(*)CC1,2,0.23,0.24,0.35,0.11
FC(F)(F)C1CCC(*)CC1,CC1(C)CCCC(*)C1,2,0.13,-0.2,0.03,0.23
FC(F)(F)C1CCC(*)CC1,CC1(C)CCC(*)CC1,2,0.11,0.1,0.16,0.06
FC(F)(F)C1CCC(*)CC1,CC1(C)CCC(*)C1,2,0.34,0.05,0.37,0.32
FC(F)(F)C1CCC(*)CC1,CC1(*)CCCCC1,2,0.56,-0.15,0.48,0.64
FC(F)(F)C1CCC(*)CC1,CC(C1CCCCC1)*,2,-0.18,-0.08,-0.22,-0.14
FC(F)(F)C1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.53,-0.05,-0.56,-0.51
FC(F)(F)C1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-0.89,-0.3,-1.04,-0.74
c1ccc(C*)cc1,C1CCC(*)CC1,2,0.93,0.4,1.13,0.73
C1CCCC(C*)CC1,C1CCC(*)CC1,2,0.35,-0.01,0.34,0.35
C1CCCC(C*)CC1,C1CCC(C*)C1,2,0.02,-0.03,0.01,0.04
C1CCCC(C*)CC1,CC1(C)CC(*)C1,2,0.43,0.45,0.65,0.2
C1CCC(C*)CC1,C1CCCC(*)CC1,2,0.24,-0.31,0.08,0.39
C1CCC(C*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.44,0.79,-0.04,-0.83
C1CCC(C*)CC1,CC1CCCCC1C*,2,-0.11,-0.46,-0.34,0.11
C1CCC(C*)CC1,CC1CCCC1*,2,0.53,-1.08,-0.01,1.07
C1CCC(C*)CC1,CC1CCCC(C*)C1,2,-0.12,-0.22,-0.23,-0.01
c1ccc(C2CCC(*)CC2)cc1,C1CCC2CC(*)CCC2C1,2,-0.01,-0.61,-0.31,0.3
c1ccc(C2CCC(*)CC2)cc1,C1CCC(*)C1,2,0.83,0.05,0.86,0.81
c1ccc(C2CCCC2*)cc1,CC1CCCC(*)C1,2,1.01,0.02,1.02,1.0
FC(F)(F)C1CCCC(*)C1,C1CC(*)C1,2,0.23,0.31,0.38,0.07
C1CCC(*)C1,CC(C1CCCCC1)*,2,-0.55,-0.48,-0.78,-0.31
C1CCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.9,-0.45,-1.13,-0.67
C1CCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-1.26,-0.71,-1.61,-0.91
FC(F)(F)C1CCCC(*)C1,OC1CCC(*)CC1,2,0.0,0.54,0.27,-0.26
FC(F)(F)C1CCCC(*)C1,c1ccc(*)cc1,2,-0.07,-0.14,-0.14,0.0
FC(F)(F)C1CCCC(*)C1,C1CCCC(*)CC1,2,0.49,0.3,0.64,0.35
FC(F)(F)C1CCCC(*)C1,C1CCC(*)CC1,2,0.5,0.29,0.65,0.36
FC(F)(F)C1CCCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-0.53,0.28,-0.4,-0.67
FC(F)(F)C1CCCC(*)C1,C1CCC(*)C1,2,0.51,0.34,0.68,0.34
FC(F)(F)C1CCCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.33,-0.32,-0.49,-0.17
FC(F)(F)C1CCCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.33,0.29,-0.18,-0.47
Clc1cccc(*)c1,Cc1ccccc1*,2,-0.33,-0.62,-0.64,-0.02
FC(F)(F)C1CCCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.43,-0.07,-0.47,-0.4
FC(F)(F)C1CCCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,0.14,-0.06,0.11,0.17
FC(F)(F)C1CCCC(*)C1,Cc1ccccc1*,2,-0.52,-0.83,-0.94,-0.11
FC(F)(F)C1CCCC(*)C1,COC1CCCC(*)C1,2,-0.1,0.38,0.09,-0.29
FC(F)(F)C1CCCC(*)C1,CCC1CCC(*)CC1,2,0.05,0.23,0.17,-0.06
FC(F)(F)C1CCCC(*)C1,CC1CCCC(*)C1,2,0.48,0.3,0.63,0.33
FC(F)(F)C1CCCC(*)C1,CC1CCC(*)CC1,2,0.37,0.18,0.46,0.28
FC(F)(F)C1CCCC(*)C1,CC1(C)CCCC(*)C1,2,0.27,-0.26,0.14,0.4
FC(F)(F)C1CCCC(*)C1,CC1(C)CCC(*)CC1,2,0.25,0.04,0.27,0.23
FC(F)(F)C1CCCC(*)C1,CC1(C)CCC(*)C1,2,0.48,-0.01,0.48,0.49
C1CCC(*)C1,CC1(C)CCC(C*)C1,2,-0.59,-0.2,-0.69,-0.49
C1CCC(*)C1,CC1(C)CCCC(*)C1,2,-0.24,-0.6,-0.53,0.06
C1CCC(*)C1,CC1CCC(*)C1,2,-0.02,0.01,-0.02,-0.03
C1CCC(*)C1,CC1CCCC(C*)C1,2,-0.45,-0.05,-0.47,-0.42
c1ccc(C2CCCC2*)cc1,CC1CCC(*)CC1,2,0.9,-0.1,0.86,0.95
c1ccc(C2CCCC2*)cc1,CC1(C)CCCC(*)C1,2,0.81,-0.53,0.54,1.07
c1ccc(C2CCCC2*)cc1,CC1(C)CCC(*)CC1,2,0.79,-0.24,0.67,0.91
c1ccc(C2CCCC2*)cc1,CC1(C)CCC(*)C1,2,1.02,-0.29,0.87,1.16
c1ccc(C2CCCC2*)cc1,CC1(*)CCCCC1,2,1.24,-0.49,0.99,1.48
c1ccc(C2CCCC2*)cc1,CC(C1CCCCC1)*,2,0.5,-0.41,0.29,0.7
c1ccc(C2CCCC2*)cc1,CC(C)C1CCC(*)CC1,2,0.14,-0.39,-0.05,0.34
c1ccc(C2CCCC2*)cc1,CC(C)(C)C1CCC(*)CC1,2,-0.22,-0.64,-0.54,0.11
C1CCC(*)C1,OC1CCC(*)CC1,2,-0.5,0.2,-0.4,-0.6
C1CCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-1.04,-0.06,-1.07,-1.01
C1CCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,-0.51,-0.34,-0.68,-0.34
C1CCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.84,-0.66,-1.17,-0.51
C1CCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.83,-0.05,-0.86,-0.81
C1CCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.94,-0.41,-1.15,-0.74
C1CCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,-0.37,-0.4,-0.57,-0.17
C1CCC(*)C1,Cc1ccccc1*,2,-1.03,-1.17,-1.62,-0.45
C1CCC(*)C1,COc1cccc(*)c1,2,-1.13,-0.31,-1.28,-0.97
C1CCC(*)C1,COC1CCCC(*)C1,2,-0.61,0.04,-0.59,-0.63
C1CCC(*)C1,CCC1CCC(*)CC1,2,-0.45,-0.11,-0.51,-0.4
C1CCC(*)C1,CC1CCCCC1C*,2,-0.44,-0.29,-0.58,-0.3
C1CCC(*)C1,CC1CCCC1*,2,0.21,-0.91,-0.25,0.66
FC(F)(F)C1CCCC(*)C1,CC1(*)CCCCC1,2,0.7,-0.22,0.59,0.81
FC(F)(F)C1CCCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.39,-0.11,-0.45,-0.34
c1ccc(C2CCC(*)CC2)cc1,c1ccc(C2CCCC2*)cc1,2,-0.21,-0.01,-0.21,-0.2
C1CC(*)C1,CC1CCCC(*)C1,2,0.25,-0.01,0.24,0.25
C1CC(*)C1,C1CCC(*)CC1,2,0.27,-0.03,0.26,0.29
C1CC(*)C1,c1ccc(C2CCCC2*)cc1,2,-0.76,-0.04,-0.78,-0.75
C1CC(*)C1,FC(F)(F)C1CCCC(*)C1,2,-0.23,-0.31,-0.38,-0.07
C1CC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.56,-0.64,-0.88,-0.24
C1CC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.55,-0.03,-0.57,-0.54
C1CC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.66,-0.38,-0.85,-0.47
C1CC(*)C1,FC(F)(F)C1CCC(*)CC1,2,-0.09,-0.37,-0.27,0.1
C1CC(*)C1,Cc1ccccc1*,2,-0.75,-1.14,-1.32,-0.18
C1CC(*)C1,COC1CCCC(*)C1,2,-0.33,0.07,-0.3,-0.36
C1CC(*)C1,CCC1CCC(*)CC1,2,-0.18,-0.08,-0.22,-0.13
C1CC(*)C1,CC1CCC(*)CC1,2,0.14,-0.13,0.08,0.21
FC(F)(F)C1CCCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-0.75,-0.37,-0.93,-0.57
C1CC(*)C1,CC1(C)CCCC(*)C1,2,0.04,-0.57,-0.24,0.33
C1CC(*)C1,CC1(C)CCC(*)CC1,2,0.02,-0.27,-0.11,0.16
C1CC(*)C1,CC1(C)CCC(*)C1,2,0.25,-0.33,0.09,0.42
