molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL461727,N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,Ki,,,,,CHEMBL1909046,
CHEMBL338790,Nc1ccc2c3c(cccc13)C(=O)NC2=O,IC50,,,,,CHEMBL1909046,
CHEMBL338790,Nc1ccc2c3c(cccc13)C(=O)NC2=O,Ki,,,,,CHEMBL1909046,
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,,,,,CHEMBL1909046,
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,Ki,,,,,CHEMBL1909046,
CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,IC50,,,,,CHEMBL1909046,
CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,Ki,,,,,CHEMBL1909046,
CHEMBL389621,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,IC50,,,,,CHEMBL1909046,
CHEMBL389621,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Ki,,,,,CHEMBL1909046,
CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,IC50,,,,,CHEMBL1909046,
CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,Ki,,,,,CHEMBL1909046,
CHEMBL1902981,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,IC50,,,,,CHEMBL1909046,
