molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL5314360,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]23)[C@@H]14)[C@@H](O)[C@@H]6OC,IC50,,,,,CHEMBL1909046,
CHEMBL5314360,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]23)[C@@H]14)[C@@H](O)[C@@H]6OC,Ki,,,,,CHEMBL1909046,
CHEMBL234926,C=CCO,IC50,,,,,CHEMBL1909046,
CHEMBL234926,C=CCO,Ki,,,,,CHEMBL1909046,
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,IC50,,,,,CHEMBL1909046,
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,Ki,,,,,CHEMBL1909046,
CHEMBL87285,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,IC50,,,,,CHEMBL1909046,
CHEMBL87285,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,,,,,CHEMBL1909046,
CHEMBL153479,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL153479,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,Ki,,,,,CHEMBL1909046,
CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,IC50,,,,,CHEMBL1909046,
CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,Ki,,,,,CHEMBL1909046,
CHEMBL117405,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,IC50,,,,,CHEMBL1909046,
CHEMBL117405,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,Ki,,,,,CHEMBL1909046,
