representation,learner,random,scaffold,LODO
ECFP4,RF,0.6384678034555077,0.5511729323754895,0.03184341358164744
ECFP4,XGB,0.6646748594752087,0.5716165357810965,0.015402856917213215
ECFP4,Ridge,0.4846742480221329,0.2983704478935245,-0.45103842414756734
RDKit-desc,RF,0.6395528825672206,0.47473432027180806,0.1031182688942226
RDKit-desc,XGB,0.6517911332533916,0.5058334883036764,0.02396364995432232
MACCS,RF,0.6093399090474136,0.46512991188260167,0.11217637354634313
ChemBERTa,Ridge,0.5036490659969485,0.2864504334541883,-0.350868708907746
ChemBERTa,RF,0.5060359883174737,0.36440978640447896,-0.031136242491166977
