molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain,LCB_dual_standard,LCB_dual_normalized,LCB_dual_pacr,AD_dist_to_paired,PACR_chem_dist_to_ptr,PACR_doc_dist_to_ptr
CHEMBL602,CYSTEAMINE,NCCS,1994.0,5.36,5.1,5.23,0.26,3.94,3.92,3.92,0.033,0.033,0.088,False,4.18678854329241,4.332573922023731,4.1256424336543525,0.9117647,0.95,0.9666666649281979
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1973.0,5.23,4.96,5.09,0.26,3.8,3.79,3.79,0.017,0.017,0.242,False,4.158592816664155,4.29563684879753,4.124515513522781,0.75757575,0.8333333,0.874888077378273
CHEMBL852,MELPHALAN,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1964.0,5.37,5.08,5.23,0.29,3.94,3.91,3.91,0.028,0.028,0.269,False,4.313412438062731,4.298820776451511,4.124081668271899,0.7307692,0.7307692,0.8457919955253601
CHEMBL71595,HYDROGEN PEROXIDE,OO,2017.0,5.2,5.11,5.16,0.09,3.77,3.93,3.77,0.028,0.028,0.087,False,4.14177096866493,4.300840258246938,4.12348459524575,0.9130435,0.9354839,0.9459459446370602
CHEMBL2107519,CHLORNAPHAZINE,ClCCN(CCCl)c1ccc2ccccc2c1,,5.4,5.11,5.25,0.29,3.97,3.93,3.93,0.033,0.033,0.174,False,4.157719016864241,4.308406339797475,4.1234186398903745,0.82608694,0.84313726,0.8596937656402588
CHEMBL1195,PROPOXYCAINE,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,1982.0,5.47,5.12,5.3,0.34,4.04,3.95,3.95,0.033,0.033,0.237,False,4.137404852825734,4.288110257740825,4.122592259414042,0.7631579,0.78688526,0.8394640237092972
CHEMBL1200927,DEXCHLORPHENIRAMINE MALEATE,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,1981.0,5.51,4.94,5.23,0.56,4.08,3.77,3.77,0.028,0.028,0.318,True,4.328265212606475,4.253941541968392,4.122449912203814,0.6818182,0.7407408,0.7887535989284515
CHEMBL505,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1950.0,5.51,4.94,5.23,0.56,4.08,3.77,3.77,0.028,0.028,0.318,True,4.328265212606475,4.253941541968392,4.122449912203814,0.6818182,0.7407408,0.7887535989284515
CHEMBL2018096,IPRAGLIFLOZIN,OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,2013.0,6.29,5.94,6.12,0.35,4.86,4.77,4.77,0.348,0.337,0.184,False,4.366286790886233,4.379587386311463,4.122435903902238,0.81578946,0.8271605,0.8472571671009064
CHEMBL1796997,HELIUM,[He],2015.0,5.27,5.17,5.22,0.1,3.84,4.0,3.84,0.033,0.033,0.025,False,4.176056132176139,4.326573165612788,4.122407706847199,0.975,0.9791667,0.9795751627534628
CHEMBL504,DIMETHYL SULFOXIDE,C[S+](C)[O-],1978.0,5.19,5.1,5.15,0.09,3.77,3.93,3.77,0.028,0.028,0.058,False,4.162633816798764,4.315985611181843,4.121979054062853,0.9423077,0.9655172,0.9765931088477373
CHEMBL945,AMILORIDE,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,1981.0,5.48,5.24,5.36,0.23,4.05,4.07,4.05,0.055,0.055,0.172,False,4.199199726927379,4.299707685082422,4.121394903193642,0.8275862,0.8630137,0.8885353207588196
CHEMBL232201,BENZIODARONE,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,,5.89,5.76,5.82,0.13,4.46,4.58,4.46,0.199,0.193,0.21,False,4.106716385057539,4.294321986206036,4.120794581009233,0.7903226,0.7903226,0.8435315936803818
