split_seed,method,tau,feature_set,n_proper_train,n_calibration,n_test,theta_M,theta_D,coverage_IDO1,width_IDO1,coverage_TDO2,width_TDO2,coverage_M,width_M,coverage_D,width_D,ad_q1_coverage_IDO1,ad_q4_coverage_IDO1,ad_coverage_mad_IDO1,ad_q1_width_IDO1,ad_q4_width_IDO1,doc_q1_coverage_IDO1,doc_q4_coverage_IDO1,doc_coverage_mad_IDO1,doc_q1_width_IDO1,doc_q4_width_IDO1,width_error_corr_IDO1,deck_max_LCB_dual,deck_n_clear_dual,deck_top_pref_name,tau_label
0,standard,,none,185,205,294,,,0.8707482993197279,2.4766764150090794,0.9013605442176871,2.361751734418442,0.8809523809523809,2.0546187334176516,0.891156462585034,2.3879519624872825,0.918918918918919,0.8378378378378378,0.0387634209552018,2.4766764150090794,2.47667641500908,0.9054054054054054,0.8378378378378378,0.040864494631617926,2.4766764150090794,2.47667641500908,0.016123104381097045,5.521972531532091,0,CRIZOTINIB,baseline
0,normalized,,model_unc,185,205,294,,,0.891156462585034,2.625130418919384,0.8877551020408163,2.292639515104588,0.8945578231292517,2.1501948136010576,0.95578231292517,2.8725792611219685,0.8918918918918919,0.9324324324324325,0.025203628285820096,2.229167814496721,3.053630772650881,0.8918918918918919,0.9324324324324325,0.027258422806368005,2.2310380176149525,3.063548786063617,0.1896165026066791,5.442591949098892,0,CRIZOTINIB,baseline
0,pacr_chem,0.65,chem,185,205,294,0;0,0;0,0.891156462585034,2.625132729029013,0.8877551020408163,2.2926415860578837,0.8945578231292517,2.1501968328317345,0.95578231292517,2.872581637700886,0.8918918918918919,0.9324324324324325,0.025203628285820096,2.2291701562625987,3.053633078308059,0.8918918918918919,0.9324324324324325,0.027258422806368005,2.231040350043059,3.063551090181913,0.1896165199587147,5.442591074355234,0,CRIZOTINIB,0.65
0,pacr_doc,0.65,doc,185,205,294,0;0,0;0.02619,0.891156462585034,2.633248834664556,0.8877551020408163,2.295956272897259,0.8945578231292517,2.1501968328317345,0.9591836734693877,2.8967168470376476,0.8918918918918919,0.9324324324324325,0.025203628285820096,2.2297776973742125,3.079426115649789,0.8918918918918919,0.9324324324324325,0.027258422806368005,2.231040350043059,3.0892486154286707,0.19455405920060126,5.437838732152326,0,CRIZOTINIB,0.65
0,pacr_chem_doc,0.65,chem_doc,185,205,294,0;0;0,0;0;0.02619,0.891156462585034,2.633248835373789,0.8877551020408163,2.2959562731849563,0.8945578231292517,2.1501968328317345,0.9591836734693877,2.896716849118543,0.8918918918918919,0.9324324324324325,0.025203628285820096,2.2297776974239865,3.07942611792468,0.8918918918918919,0.9324324324324325,0.027258422806368005,2.231040350043059,3.0892486176939817,0.19455405959892297,5.437838731742587,0,CRIZOTINIB,0.65
0,pacr_chem,0.7,chem,185,205,294,0;0,0;0.1774,0.8979591836734694,2.6912783955766275,0.8945578231292517,2.3231648213789944,0.8945578231292517,2.1501968328317345,0.9693877551020408,3.0543073116524093,0.8918918918918919,0.9594594594594594,0.03196038504257684,2.2291701562625987,3.252855332283179,0.8918918918918919,0.9594594594594594,0.03401517956312475,2.2311640975978078,3.26184144432189,0.21071571758594798,5.413822805819864,0,CRIZOTINIB,0.70
0,pacr_doc,0.7,doc,185,205,294,0;0,0;0.2231,0.9047619047619048,2.7011889097912305,0.8979591836734694,2.3291902290709086,0.8945578231292517,2.1501968328317345,0.9693877551020408,3.0781984034543948,0.8918918918918919,0.972972972972973,0.033968900407256586,2.2345314531093776,3.299309297384603,0.8918918918918919,0.972972972972973,0.033968900407256586,2.231040350043059,3.309671600529243,0.21785965130550497,5.392581169830949,0,CRIZOTINIB,0.70
0,pacr_chem_doc,0.7,chem_doc,185,205,294,0;0;0,0;0;0.2231,0.9047619047619048,2.7011889071018476,0.8979591836734694,2.3291902278951264,0.8945578231292517,2.1501968328317345,0.9693877551020408,3.0781983967733564,0.8918918918918919,0.972972972972973,0.033968900407256586,2.234531452939148,3.299309288587169,0.8918918918918919,0.972972972972973,0.033968900407256586,2.231040350043059,3.3096715917030624,0.2178596505505556,5.392581172613465,0,CRIZOTINIB,0.70
0,pacr_chem,0.75,chem,185,205,294,0.09094;0,0.1017;0.1401,0.9217687074829932,2.945069014770201,0.9183673469387755,2.54110905508643,0.9115646258503401,2.3548976238929495,0.9761904761904762,3.3388014108886184,0.918918918918919,0.972972972972973,0.04009626064420585,2.453876631490457,3.53109687435929,0.918918918918919,0.972972972972973,0.04009626064420585,2.455402463989274,3.541004758388681,0.20769784600110247,5.309706517847042,0,CRIZOTINIB,0.75
0,pacr_doc,0.75,doc,185,205,294,0.09094;0,0.0243;0.2882,0.9149659863945578,2.899296925592863,0.9183673469387755,2.5351245367478787,0.9115646258503401,2.3548976238929495,0.9693877551020408,3.215409053399189,0.9054054054054054,0.972972972972973,0.03329322473158089,2.3727582665168527,3.578933153117209,0.9054054054054054,0.972972972972973,0.03329322473158089,2.3713987848964933,3.5904682306797895,0.21785837270157624,5.28992735777552,0,CRIZOTINIB,0.75
