clean_smiles,pIC50_cox1,src_doc_cox1,molid_cox1,pIC50_cox2,src_doc_cox2,molid_cox2,M,D,scaffold,src_doc
C=CCOc1cc2oc(C)cc(=O)c2c(O)c1OCC=C,4.67,CHEMBL1681761,CHEMBL1684150,4.87,CHEMBL1681761,CHEMBL1684150,4.77,-0.20000000000000018,O=c1ccoc2ccccc12,CHEMBL1681761
C=C[C@@H]1[C@@H](O)C[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]24C)C[C@]13CCC(=O)O,4.36,CHEMBL1134097,CHEMBL39521,5.33,CHEMBL1134097,CHEMBL39521,4.845000000000001,-0.9699999999999998,C1CC2CCC34CC3CCCC4C2C1,CHEMBL1134097
C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,6.85,CHEMBL1287761,CHEMBL1288618,7.75,CHEMBL1287761,CHEMBL1288618,7.3,-0.9000000000000004,C1=Cc2ccccc2OC1,CHEMBL1287761
C=Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,4.92,CHEMBL1132512,CHEMBL41405,6.68,CHEMBL1132512,CHEMBL41405,5.8,-1.7599999999999998,O=C1OCc2ccc(Sc3nccs3)cc21,CHEMBL1132512
C=Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,5.02,CHEMBL1129864,CHEMBL157714,6.805,CHEMBL1129864,CHEMBL157714,5.9125,-1.7850000000000001,c1ccc(-c2sc3ncnn3c2-c2ccccc2)cc1,CHEMBL1129864
CC(=O)N/C=C/c1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](NC(C)=O)O2,4.1,CHEMBL5390243,CHEMBL5417201,5.19,CHEMBL5390243,CHEMBL5417201,4.645,-1.0900000000000007,c1ccc(C2COc3ccccc3O2)cc1,CHEMBL5390243
CC(=O)N1N=C(C)/C(=N\Nc2cccc(-c3nc4ccccc4s3)c2)C1=O,5.02,CHEMBL5230113,CHEMBL5275198,7.0,CHEMBL5230113,CHEMBL5275198,6.01,-1.9800000000000004,O=C1NN=CC1=NNc1cccc(-c2nc3ccccc3s2)c1,CHEMBL5230113
CC(=O)Nc1c(C#N)cnn1-c1ccc(S(=O)(=O)NC(C)=O)cc1,6.06,CHEMBL4393660,CHEMBL4465079,7.21,CHEMBL4393660,CHEMBL4465079,6.635,-1.1500000000000004,c1ccc(-n2cccn2)cc1,CHEMBL4393660
CC(=O)Nc1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,5.46,CHEMBL1131087,CHEMBL326365,5.46,CHEMBL1131087,CHEMBL326365,5.46,0.0,c1ccc2c(c1)CCO2,CHEMBL1131087
CC(=O)Oc1ccccc1C(=O)O,5.16,CHEMBL1139892,CHEMBL25,5.62,CHEMBL1131194,CHEMBL25,5.390000000000001,-0.45999999999999996,c1ccccc1,CHEMBL1131194
